archive,path,status,baseline_archive,bytes,member_date
Universe_mod.pak,Effects/_(Effect)/Buildings/UniverseMercenaryCampResize.(ModelInstance).xdb,added,,563,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/UniversePrisonResize.(ModelInstance).xdb,added,,456,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/UniverseResizeShrineT2.(ModelInstance).xdb,added,,462,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/UniverseTradingPostResize.(ModelInstance).xdb,added,,479,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/UniverseWarMachineFactoryResize.(ModelInstance).xdb,added,,467,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/WarMachineFactory.xdb,changed,data.pak,1833,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Academy/CommonDwelling.xdb,changed,data.pak,1825,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Academy/UniverseAcademyDwel.(ModelInstance).xdb,added,,576,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Dungeon/Military_Post.(Effect).xdb,changed,data.pak,688,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Dungeon/UniverseDungeonDwel.(ModelInstance).xdb,added,,473,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Dungeon/Military_Post/Cristal.(ModelInstance).xdb,changed,data.pak,514,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Dungeon/Military_Post/CristalGlow.(ParticleInstance).xdb,changed,data.pak,923,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Dungeon/Military_Post/CristalRay.(ModelInstance).xdb,changed,data.pak,648,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Dungeon/Military_Post/Cristal_Down.(ParticleInstance).xdb,changed,data.pak,1082,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Inferno/Common_Dwelling_Inferno/Pod.(ModelInstance).xdb,changed,data.pak,510,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Inferno/Inferno_Military_Post/smoke.(ParticleInstance).xdb,changed,data.pak,1436,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Inferno/Military_Post/InfernoMilitaryPost.(Effect).xdb,same,data.pak,670,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Inferno/Military_Post/InfernoMilitaryPostFree.(Effect).xdb,changed,data.pak,606,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Inferno/Military_Post/UniverseInfernoDwel.(ModelInstance).xdb,added,,596,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Orcs/T4_Dwelling.(Effect).xdb,changed,data.pak,395,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Orcs/UniverseOrcsDwel.(ModelInstance).xdb,added,,472,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Orcs/T4_Dwelling/Fire/DragonUtopia.(ParticleInstance).xdb,changed,data.pak,1872,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Rampart/Preserve_Military_Post.(Effect).xdb,changed,data.pak,594,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Rampart/Ring.(ModelInstance).xdb,changed,data.pak,656,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Rampart/UniverseSylvantDwelling.(ModelInstance).xdb,added,,482,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Rampart/Preserve_Military_Post/Spark.(ParticleInstance).xdb,changed,data.pak,857,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Dwellings/Rampart/Preserve_Military_Post/Spark01.(ParticleInstance).xdb,changed,data.pak,855,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/FPP2/Prison.(ParticleInstance).xdb,changed,data.pak,855,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/H5A2/House_Of_Astrologer/House_Of_Astrologer.(Effect).xdb,changed,data.pak,393,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/H5A2/House_Of_Astrologer/UniverseAstrologerResize.(ModelInstance).xdb,added,,549,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/MercenaryCamp/Fire.(ModelInstance).xdb,changed,data.pak,467,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Mines/AlchemistLab_captured.xdb,changed,data.pak,2937,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Mines/AlchemistLab_free.(Effect).xdb,changed,data.pak,409,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Mines/UniverseAlchemistLabResize.(ModelInstance).xdb,added,,463,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Schol_of_Magic/Circle_Root.(ModelInstance).xdb,changed,data.pak,590,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Schol_of_Magic/Sphere_Root.(ModelInstance).xdb,changed,data.pak,590,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Buildings/Schol_of_Magic/Windows_Root.(ModelInstance).xdb,changed,data.pak,475,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Towns/Haven/MilitaryPost/Windows.(ModelInstance).xdb,changed,data.pak,495,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Universe_mod/Demonbank.(Effect).xdb,added,,548,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Universe_mod/EnchantedTreasure.(Effect).xdb,added,,347,2107-12-31-23-59-56
Universe_mod.pak,Effects/_(Effect)/Universe_mod/LearningStone_10.xdb,added,,4420,2107-12-31-23-59-56
